ID,Filename,Adoration,Amusement,Anger,Awe,Confusion,Contempt,Contentment,Desire,Disappointment,Disgust,Distress,Ecstasy,Elation,Embarrassment,Fear,Interest,Pain,Realization,Relief,Sadness,Surprise_negative,Surprise_positive,Sympathy,Triumph
35,0035.mp3,0.0019269,0,0,0,0,0,0.08377,0.33624,0.083129,0,0,0.086252,0.00016284,0.001185,0.00020609,0.083314,0,0,0,8.45E-05,0,0,0,0
36,0036.mp3,0.082649,0.00054368,0,3.70E-05,0.0014899,8.29E-05,7.80E-05,0.33301,0.084549,0.083571,0.00063668,0.082764,0.00019922,0.0034105,0.00014289,0.083055,0.083577,0.084398,0.0010176,0.00039757,0.0010418,0,0.00053214,0.00017813
37,0037.mp3,0,0,2.33E-06,0.083026,0,0,0.081846,0.08294,0,0,0,0.082843,0,0,0,0,0,0.083112,0.58279,0,0,0,0.00012682,0
38,0038.mp3,0,0,2.59E-06,0,0.083142,0,0.082785,0.16627,0,0.083229,0,0,0.083283,0,0,0.082515,0,0.24978,0,0.083048,0,0,0.00013511,0
39,0039.mp3,0.085452,0,0.083331,0.083243,0,0,7.38E-05,0.003014,0.083064,0,8.01E-05,0.17011,0.00017563,0.0014063,0.00029575,0,0,0.083122,0.33317,0.00015028,0,0,0,0
40,0040.mp3,0,0,4.35E-06,0,0,0,0.24838,0.082439,0,0,0,0.16572,0.083214,0.081762,0,0,0,0,0.24854,0.082883,0,0,0.00028744,0
41,0041.mp3,0,0,2.65E-06,0,0,0,0.082017,0.082818,0.24954,0,0,0.082789,0.083257,0,0.083253,0,0,0,0.33275,0,0,0,8.44E-05,0
42,0042.mp3,0,0,2.83E-06,0,0,0,0.16531,0.082586,0.16614,0,0,0.082522,0,0,0,0,0,0.1664,0,0,0,0,0.18763,0
43,0043.mp3,0,0.00044975,0,0.08313,0.0014138,0,0.24933,0.082792,0.16766,9.08E-05,0.00015194,0.24943,0.00015907,0.0032042,0.0001497,0,0.00021801,0.084318,0,0.00030166,0.00099602,0,0.00051682,0
44,0044.mp3,0,0,1.17E-06,0,0.083141,0.08318,0,0,0,0.74794,0,0,0,0.082721,0,0,0,0,0,0,0,0,2.05E-05,0
45,0045.mp3,0.00026321,0.00010664,0,0.084385,0,0,0.0046091,0,0.084071,0.58332,0.001621,0.0009959,0.00015294,0,0,0,0.083286,0,0.00033002,5.73E-05,0.083348,0,0,0
46,0046.mp3,0,0,1.33E-06,0,0,0,0,0,0,0.83331,0,0,0,0.082804,0,1.30E-06,0.083263,0,0,0,0,0,2.97E-05,0
47,0047.mp3,0,0,0,0,0,0,0,0,0,0.91666,0.083193,0,0,0,0,0,0,0,0,0,0,0,7.90E-06,0
48,0048.mp3,2.64E-05,0.00059214,0,0.00025085,0.0015702,0.00027068,0.0008099,0.00036401,0.0015149,0.91698,0.0011826,0.00031273,0.00026986,0.0046386,0.00029955,0,0.00032357,0.0012303,0.0010759,0.00070964,0.001104,0,0.00022751,0.00046026
49,0049.mp3,0,0,2.68E-07,0,0,0,0,0,0,0.91666,0,0,0,0,0,0.083331,0,0,0,0,0,1.90E-07,0,0
50,0050.mp3,0,0,0.08332,0,0,0,0.082614,0,0.082519,0.41653,0.082789,0.082962,0,0,0,0,0,0,0,0,0.16676,0,7.70E-05,0
51,0051.mp3,0,0.00044946,0,0,0.0013909,0,0.24926,0.082969,0.16767,0.00015063,0.00021288,0.16618,0.00016739,0.003287,0.00016034,0,0.00022215,0.00096902,0.2497,0.00033957,0.00097835,0,0.00044944,0
52,0052.mp3,0,0,2.41E-06,0,0,0,0.08196,0.16633,0.08287,0,0,0,0,0,0,0,0.083237,0,0.5828,0,0,0,0.00010682,0
53,0053.mp3,0,0,3.01E-06,0.083051,0.083096,0,0.1651,0.082683,0.082824,0,0,0.16595,0,0,0,0,0,0,0.33232,0,0,0,0.00019882,0
54,0054.mp3,0,0,4.42E-06,0,0,0,0.33172,0.24906,0.082656,0,0,0.16542,0.083206,0,0,0,0,0,0.081507,0,0,0,0.00036647,0
55,0055.mp3,0,0,3.16E-06,0,0,0,0,0.082539,0.24943,0,0,0.16603,0.083239,0.081652,0,0.083313,0,0,0.16642,0,0.083195,0,0.00015008,0
56,0056.mp3,0,0,0,0,0,0.082923,0,0,0,0.24779,0.16614,0.16629,0,0,0,0,0,0.083043,0.083149,0.083005,0.083286,0,0.00014813,0
57,0057.mp3,0.08261,0.49947,2.47E-06,0,0,0,0,0,0,0,0,0.082915,0.083287,0.082519,0.083271,0,0,0,0,0,0,0,0.00011596,0
58,0058.mp3,0.0016884,0,0,0,0,0,0.082829,0.085862,0.082278,0,0.16645,0.33633,0.00012445,0.00074127,0.00022911,0,0,0,0.16601,0,0,0,0,0
59,0059.mp3,0,0,0,0,0,0,0,0.08245,0,0.16642,0.08261,0.24931,0,0.081824,0,0,0,0.082985,0.24976,0,0,0,0.00027613,0
60,0060.mp3,0.0018787,0,0,0.083203,0,0,0.16645,0.1695,0.082996,0,0,0.16964,0.00013944,0.0010681,0.00023689,0,0,0,0.249,5.35E-05,0,0,0,0
61,0061.mp3,0,0.083193,0,0.083094,0,0.082951,0,0,0.16598,0.081125,0.082748,0.16629,0,0,0,0.083284,0,0,0,0,0.083227,0.083295,9.21E-05,0
62,0062.mp3,0.0022623,0.4172,0,0.00030188,0.0015501,0.16657,0.0013269,0.0034864,0.084849,0,0.0014215,0.17058,0.00049913,0.0065158,0.00061615,0,0.00027379,0.0010616,0.0009745,0.00093069,0.001032,0,0,0
63,0063.mp3,0,0.6657,3.62E-06,0,0,0,0,0.082655,0,0,0,0.08273,0,0.16545,0,0,0,0,0,0,0,0,0.00017071,0
64,0064.mp3,0,0,2.49E-06,0.082904,0,0,0.082829,0,0,0,0,0,0.33331,0.082531,0,0,0,0,0,0,0.083,0.3333,4.62E-05,0
65,0065.mp3,0,0,1.89E-06,0,0,0,0.082009,0,0.082943,0,0,0,0.083282,0,0,0,0,0,0.66614,0,0,0,0,0
66,0066.mp3,0,0.83321,1.47E-06,0,0,0.082823,0,0.083166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81E-05,0
67,0067.mp3,0,0,0,0.083473,0.0012547,0.0015739,0.0019585,0.085263,0.088659,0.0002157,0.0059205,0,0.00014346,0.26187,0.16686,0,0.084729,0.0030331,0.00096281,0.0033227,0.00061101,0.00024253,0,0.002158
68,0068.mp3,0.083812,0.5005,0,6.20E-05,0.0014391,0.00070457,0.001313,0.0012779,0.17026,0.00027478,0.0036373,0.00011826,0.0002309,0.0081514,0.00023653,0,0.00091473,0.085527,0.001044,0.0020886,0.0013736,0.00012348,0,0.00071348
69,0069.mp3,0,0.00043939,0.083329,0.00013185,0.16808,0.16657,6.41E-05,0.16663,0.33439,0,0.00042966,0,0.0002309,0.0032514,0.00022532,0,0.00017972,0.00089747,0.00095084,0.00033066,0.00094644,0,0.00026669,0
70,0070.mp3,0,0,0,0,0,0,0,0,0.16555,0.16657,0.16605,0.083014,0,0,0,0.083324,0,0,0.16649,0.082977,0,0,6.34E-05,0
71,0071.mp3,0,0,1.17E-06,0.16616,0,0,0,0,0,0.083139,0,0,0.083304,0,0,0,0,0.083174,0,0,0.33345,0.24991,0,0
72,0072.mp3,0,0,1.68E-06,0.24943,0,0,0,0,0,0,0,0.083097,0,0,0,0,0,0.24984,0.16652,0,0.083159,0.16663,5.61E-05,0
73,0073.mp3,0.082251,0,7.95E-07,0.41636,0,0,0,0,0,0,0,0,0,0,0.083349,0,0,0,0,0,0,0.41665,4.57E-05,0
74,0074.mp3,0.081863,0,7.56E-07,0.08288,0,0.083134,0.082897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58333,4.70E-05,0
75,0075.mp3,0,0,9.12E-07,0,0,0,0,0,0,0,0,0,0,0,0.56848,0.08331,0,0,0,0,0.33036,0,2.04E-05,0
76,0076.mp3,0,0,8.99E-07,0.083204,0,0,0,0,0,0,0,0,0,0,0.74271,0,0,0,0,0,0.16253,0,3.86E-05,0
77,0077.mp3,0,0,0,0,0,0,0,0,0,0,0.082833,0,0,0.082407,0.66306,0,0.08295,0,0,0,0.079464,0,8.97E-05,0
78,0078.mp3,0,0,8.98E-07,0,0.083213,0,0,0,0,0,0,0,0,0,0.8298,0,0,0,0,0,0.078603,0,3.84E-05,0
79,0079.mp3,0,0,0,0,0,0.082899,0,0.082857,0,0,0.082798,0,0,0.082276,0,0.41636,0,0.082994,0,0,0,0,9.81E-05,0
80,0080.mp3,0,0.08326,0.083335,0,0,0,0,0.33287,0.082938,0,0,0,0,0,0,0.24998,0,0,0.083267,0,0,0,0.00019724,0
81,0081.mp3,0.0014515,0,0,0,0.083268,0,0.083487,0.66929,0,0,0,0.085609,0.00011966,0.00058289,0.00019196,0,0,0,0,0,0,0,0,0
82,0082.mp3,0,0,6.76E-07,0.083177,0.24982,0,0,0,0,0,0,0,0,0,0,0.49971,0,0.083138,0,0,0,0,0,0
83,0083.mp3,0,0,4.56E-07,0,0,0.083027,0,0,0.083134,0,0,0,0,0,0,0.4161,0,0.16646,0,0,0,0.083325,0,0
84,0084.mp3,0,0,1.40E-06,0,0.24981,0,0,0,0,0,0,0,0,0,0,0.1656,0,0.33315,0,0,0,0,0,0
85,0085.mp3,0,0,1.15E-06,0,0.16648,0,0,0.16634,0,0.083319,0,0,0,0,0,0.49972,0,0.08312,0,0,0,0,9.34E-05,0
86,0086.mp3,0,0.083201,3.36E-07,0,0.24984,0.083045,0,0,0,0,0,0,0,0,0,0.33328,0,0,0,0,0,0.083333,0,0
87,0087.mp3,0.083033,0,1.41E-06,0,0,0.083137,0,0,0.082992,0.081221,0,0.083007,0,0,0,0,0.49992,0,0,0.083079,0,0,8.50E-05,0
88,0088.mp3,0,0,0.083335,0,0.083169,0,0,0,0.1663,0,0,0,0,0,0.24631,0,0.16649,0,0,0,0.081731,0.16664,0,0
89,0089.mp3,0,0,0.16667,0,0,0.082984,0,0,0.082752,0,0,0,0,0,0,0,0.33323,0.16642,0,0,0.16674,0,0,0
90,0090.mp3,0,0,0,0.083091,0,0,0,0,0,0,0.16595,0.082883,0,0.081951,0,0,0.49977,0.082956,0,0,0,0,0.00014076,0
91,0091.mp3,0,0,0.083295,0.083008,0,0.08243,0,0,0,0,0.16613,0,0,0,0.075727,0,0.16644,0.083012,0,0,0.16626,0,1.70E-05,0.081946
92,0092.mp3,0.00011736,5.74E-05,0,0.00092237,0,0,0.17096,0,0.00051576,0.16664,0.001326,0.0007437,0.00013209,0,0,0,0.41661,0,0.082839,0,0.083329,0,0,0
93,0093.mp3,0,0,0.083317,0.0007828,0,0,0.25352,0,0.41646,0,0.08394,0.00050589,8.26E-05,0,0,0,0,0,0.082294,0,0,0,0,0
94,0094.mp3,0.00013641,0,0,0,0,0.00040772,0.24945,0.00080484,0.0013719,0,0.085399,0,0,0.0030554,0.083223,0,0.00049655,0.0008572,0.49868,0.0012785,0,0.00012966,0,0.00037462
95,0095.mp3,0,0,0.083335,0,0,0,0,0,0,0,0,0,0,0,0,2.68E-07,0,0,0.91658,0,0,0,0,0
96,0096.mp3,0,0.00047028,0,0.000122,0.001371,0.083357,0,0.00015901,0.1675,0,0.083998,0.00015619,0.00023178,0.0036229,0.00024759,0,0.00017693,0.0009569,0.58431,0.00044166,0.00094104,0,0.00020261,0
97,0097.mp3,3.28E-06,1.07E-05,0,0.0009101,0,0,0.17012,0,0.00048587,0,0.0012941,0.00075263,0.00010838,0,0,0.083309,0,0,0.66617,0,0,0,0,0
98,0098.mp3,0,0,0.083321,0,0,0,0.16523,0,0.24898,0,0.08234,0.082791,0.083252,0,0,0,0,0,0.24897,0,0,0,7.07E-05,0
99,0099.mp3,0,0,0,0,0,0.082993,0.082358,0,0.24923,0.081272,0.082602,0,0,0,0,0,0,0,0.1661,0,0,0,0,0
100,0100.mp3,0,0,0,0,0,0,0,0.08266,0,0.083237,0.16601,0.082754,0,0.081968,0.083209,0.083321,0.083076,0,0,0.082921,0,0,0.00019921,0
101,0101.mp3,0.083421,0,0,0,0,0.00028218,0,0.00044729,0.00061429,0,0.25212,0.082814,0,0.0025114,0,0,0.083697,0.00074156,0,0.41785,0.00017317,0.00010926,0,0.00060123
102,0102.mp3,0,0,0,0,0,0,0.082566,0,0.082285,0,0.082396,0,0,0,0,0,0.16645,0,0,0.58299,0,0,9.49E-05,0
